2021-09-26:14:29:11  program started.
2021-09-26:16:51:40  reached the 12800000000 line.
2021-09-26:16:52:50  reached the 12900000000 line.
2021-09-26:16:54:00  reached the 13000000000 line.
2021-09-26:16:55:09  reached the 13100000000 line.
2021-09-26:16:56:19  reached the 13200000000 line.
2021-09-26:16:57:27  reached the 13300000000 line.
2021-09-26:16:58:38  reached the 13400000000 line.
2021-09-26:16:59:47  reached the 13500000000 line.
2021-09-26:17:00:57  reached the 13600000000 line.
2021-09-26:17:02:06  reached the 13700000000 line.
2021-09-26:17:03:16  reached the 13800000000 line.
2021-09-26:17:04:24  reached the 13900000000 line.
2021-09-26:17:05:33  reached the 14000000000 line.
2021-09-26:17:06:41  reached the 14100000000 line.
2021-09-26:17:07:49  reached the 14200000000 line.
2021-09-26:17:08:56  reached the 14300000000 line.
2021-09-26:17:10:03  reached the 14400000000 line.
2021-09-26:17:11:10  reached the 14500000000 line.
2021-09-26:17:12:18  reached the 14600000000 line.
2021-09-26:17:13:25  reached the 14700000000 line.
2021-09-26:17:14:33  reached the 14800000000 line.
2021-09-26:17:15:41  reached the 14900000000 line.
2021-09-26:17:16:49  reached the 15000000000 line.
2021-09-26:17:17:57  reached the 15100000000 line.
2021-09-26:17:19:05  reached the 15200000000 line.
2021-09-26:17:20:12  reached the 15300000000 line.
2021-09-26:17:21:20  reached the 15400000000 line.
2021-09-26:17:22:28  reached the 15500000000 line.
2021-09-26:17:23:36  reached the 15600000000 line.
2021-09-26:17:24:44  reached the 15700000000 line.
2021-09-26:17:25:53  reached the 15800000000 line.
2021-09-26:17:27:00  reached the 15900000000 line.
2021-09-26:17:28:09  reached the 16000000000 line.
2021-09-26:17:29:17  reached the 16100000000 line.
2021-09-26:17:30:25  reached the 16200000000 line.
2021-09-26:17:31:35  reached the 16300000000 line.
2021-09-26:17:32:43  reached the 16400000000 line.
2021-09-26:17:33:51  reached the 16500000000 line.
2021-09-26:17:34:58  reached the 16600000000 line.
2021-09-26:17:36:07  reached the 16700000000 line.
2021-09-26:17:37:18  reached the 16800000000 line.
2021-09-26:17:38:27  reached the 16900000000 line.
2021-09-26:17:39:35  reached the 17000000000 line.
2021-09-26:17:40:42  reached the 17100000000 line.
2021-09-26:17:41:49  reached the 17200000000 line.
2021-09-26:17:42:57  reached the 17300000000 line.
2021-09-26:17:44:05  reached the 17400000000 line.
2021-09-26:17:45:13  reached the 17500000000 line.
2021-09-26:17:46:21  reached the 17600000000 line.
2021-09-26:17:47:28  reached the 17700000000 line.
2021-09-26:17:48:36  reached the 17800000000 line.
2021-09-26:17:49:46  reached the 17900000000 line.
2021-09-26:17:50:54  reached the 18000000000 line.
2021-09-26:17:52:02  reached the 18100000000 line.
2021-09-26:17:53:09  reached the 18200000000 line.
2021-09-26:17:54:17  reached the 18300000000 line.
2021-09-26:17:55:26  reached the 18400000000 line.
2021-09-26:17:56:34  reached the 18500000000 line.
